experiment,case_id,trial_id,n,k,rate,family,snr_db,true_label,states,full_cartesian_pairs,oracle_marginal_int,oracle_joint_int,transmitted_int,oracle_tie,oracle_margin_log,certified,ls_decoded_int,ls_matches_marginal,certificate_verified,first_decoded_int,first_matches_marginal,joint_matches_marginal,marginal_error,joint_error,first_error,direct_probability_check,membership_queries,query_fraction_of_cartesian,latent_queues_touched,queue_touch_fraction,valid_witnesses,unique_codewords_seen,certificate_query_overhead,certificate_margin_log,ls_cap_hit,ls_wall_seconds,first_queries,first_wall_seconds
exactness,E12_DENSE,62,12,8,0.6666666666666666,dense,4.0,slip_2_1,11,45056,3185,3185,3185,False,0.7428489448543818,True,3185,True,True,3185,True,True,False,False,False,True,116,0.0025745738636363635,11,1.0,10,7,6.105263157894737,0.007727557779451999,False,0.003137035993859172,19,0.0003192209405824542
exactness,E12_DENSE,63,12,8,0.6666666666666666,dense,6.0,slip_5_3,11,45056,1176,1176,1176,False,4.0006420978728165,True,1176,True,True,1176,True,True,False,False,False,True,11,0.000244140625,11,1.0,1,1,1.0,1.1199538254715535,False,0.000273557030595839,11,0.00026073900517076254
exactness,E12_DENSE,64,12,8,0.6666666666666666,dense,0.0,slip_5_1,11,45056,838,838,2117,False,0.056422324589558315,True,838,True,True,838,True,True,True,True,True,True,1523,0.03380237926136364,11,1.0,95,41,152.3,1.223125724614249e-05,False,0.23327135399449617,10,0.0003422789741307497
exactness,E12_DENSE,65,12,8,0.6666666666666666,dense,6.0,no_slip,11,45056,3361,3361,3361,False,1.6725190636781324,True,3361,True,True,3361,True,True,False,False,False,True,9,0.00019975142045454547,8,0.7272727272727273,2,2,9.0,0.04763203337356359,False,0.00041631993371993303,1,0.00022633292246609926
exactness,E12_DENSE,66,12,8,0.6666666666666666,dense,2.0,no_slip,11,45056,1356,1356,1309,False,1.1929768388805648,True,1356,True,True,1356,True,True,True,True,True,True,119,0.0026411576704545455,11,1.0,9,5,17.0,0.008475884417133983,False,0.0036566409980878234,7,0.00023683998733758926
exactness,E12_DENSE,67,12,8,0.6666666666666666,dense,6.0,no_slip,11,45056,2614,2614,2614,False,5.089285375340514,True,2614,True,True,2614,True,True,False,False,False,True,6,0.00013316761363636363,5,0.45454545454545453,1,1,6.0,0.04455563513453065,False,0.0004903910448774695,1,0.00019054999575018883
exactness,E12_DENSE,68,12,8,0.6666666666666666,dense,0.0,slip_3_1,11,45056,427,427,291,False,0.6036514420030592,True,427,True,True,427,True,True,True,True,True,True,83,0.0018421519886363637,11,1.0,6,3,16.6,0.005704101119249572,False,0.0023160630371421576,5,0.00022443197667598724
exactness,E12_DENSE,69,12,8,0.6666666666666666,dense,0.0,no_slip,11,45056,2854,2854,2854,False,0.12836293239133845,True,2854,True,True,2854,True,True,False,False,False,True,476,0.010564630681818182,11,1.0,27,22,119.0,0.0003114322761295085,False,0.04361716704443097,4,0.00032170210033655167
exactness,E12_DENSE,70,12,8,0.6666666666666666,dense,6.0,slip_4_3,11,45056,1922,1810,1810,False,0.0041891655921801885,True,1922,True,True,1922,True,False,True,False,True,True,61,0.0013538707386363637,11,1.0,5,3,12.2,0.00010081880350121253,False,0.0017606380861252546,5,0.0002186379861086607
exactness,E12_DENSE,71,12,8,0.6666666666666666,dense,6.0,slip_3_3,11,45056,806,806,806,False,1.2835874773940468,True,806,True,True,806,True,True,False,False,False,True,18,0.00039950284090909093,11,1.0,2,2,2.5714285714285716,0.002648875694947428,False,0.0005245259962975979,7,0.0002245260402560234
exactness,E12_DENSE,72,12,8,0.6666666666666666,dense,0.0,slip_5_1,11,45056,3360,3360,2402,False,0.7221960588566159,True,3360,True,True,3360,True,True,True,True,True,True,124,0.002752130681818182,11,1.0,9,6,41.333333333333336,0.004607454837774583,False,0.004525735042989254,3,0.0002441669348627329
exactness,E12_DENSE,73,12,8,0.6666666666666666,dense,4.0,slip_2_1,11,45056,295,295,399,False,1.2866629615462948,True,295,True,True,295,True,True,True,True,True,True,47,0.0010431463068181818,11,1.0,6,5,4.2727272727272725,0.00770875630913892,False,0.0014857429778203368,11,0.000274079036898911
exactness,E12_DENSE,74,12,8,0.6666666666666666,dense,6.0,no_slip,11,45056,1631,1631,1631,False,1.851301320119628,True,1631,True,True,1631,True,True,False,False,False,True,5,0.00011097301136363636,4,0.36363636363636365,1,1,5.0,0.027821187744125453,False,0.00035308999940752983,1,0.00021937803830951452
exactness,E12_DENSE,75,12,8,0.6666666666666666,dense,4.0,no_slip,11,45056,3765,3765,3765,False,1.2049383568451297,True,3765,True,True,3765,True,True,False,False,False,True,21,0.00046608664772727275,11,1.0,4,4,10.5,0.02213599397862609,False,0.0009628570405766368,2,0.0002136810217052698
